,LA code,Ofsted Avg,lonely_avg,KS2 metrics PCA,GDHI income index,LA name,LA flow rate,All Ages,meds,old%,young%,Unnamed: 0_x,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,FSM Eligible %,<2 A levels,< AAB,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees,progression_rate,total_pop,Unnamed: 0_y,"Average Rainfall (June, mm)"
0,E06000001,3,-0.542761289,-22376.05414,,Hartlepool,0.006385792,7819.666667,40.91465421,0.192425191,0.291151239,3,0.187969925,0.37593985,0,0.827205882,0.438596491,1.666666667,0,0.520833333,25.7971205,29.545,89.831,7.240653,75,53.4,0.389333333,5480,74,88.6
1,E06000002,2.955555556,1.316154662,-16308.99017,,Middlesbrough,0.009087095,7472.833333,38.02296492,0.173323615,0.325615814,4,1.511335013,2.770780856,0.100755668,2.695956066,2.464183381,3.839541547,0.05730659,13.63893605,24.18982436,36.743,90.881,17.3575237,78.3,46.1,0.413947368,7890,75,94
2,E06000003,2.791666667,0.649265925,-18159.71912,76.2,Redcar and Cleveland,0.006610051,7222.526316,44.31592561,0.227441977,0.272532892,8,0.263331139,0.526662278,0,1.371652515,0.946585531,1.487491548,0.135226504,1.928191489,17.97113327,23.263,86.907,26.902558,58.2,23,0.374421053,7550,76,89
3,E06000004,3.085714286,0.635474495,-11390.33647,79.3,Stockton-on-Tees,0.006534783,8225.791667,41.91437943,0.198321068,0.282187189,10,0.672268908,0.504201681,0.084033613,1.04427736,1.909090909,1.545454545,0.5,2.574525745,16.43831262,22.014,81.56,12.7347978,71,22.7,0.427333333,10385,77,66.6
4,E06000005,2.894736842,0.967079456,-22128.62644,82.8,Darlington,0.007193433,7160.133333,42.79504812,0.204486966,0.277309435,0,0.356824264,1.33809099,0,0.71237756,2.852049911,8.199643494,0,1.426024955,16.55899561,23.524,82.458,6.1762708,71.2,35.8,0.390533333,5635,95,71.2
5,E06000006,2.901639344,-0.561738971,-20332.33911,,Halton,0.00600337,8109.9375,40.81790323,0.189375334,0.294508342,19,1.369863014,3.424657534,0.205479452,5.866302865,0.466666667,1.466666667,0,3.344262295,26.10328156,21.689,90.774,10.9706405,68.5,45,0.374375,7135,116,112.5
6,E06000007,3.189873418,0.119803532,-12615.78189,98.5,Warrington,0.005030901,8375.88,43.22405177,0.198677658,0.275404147,32,1.403368083,2.165196472,0,0.561347233,1.249461439,2.498922878,0.043084877,2.835378756,10.9932915,39.531,87.766,2.4819285,76.1,47.8,0.44536,11660,117,50.7
7,E06000008,2.935064935,-0.65474197,-15969.89127,67.3,Blackburn with Darwen,0.007951765,8335,37.21113107,0.150609638,0.338564611,12,2.344894968,3.566194431,0,3.712750366,3.804627249,4.935732648,0,7.403598972,15.19591642,20.973,89.454,3.3464713,86.7,35.4,0.465333333,8990,129,102.2
8,E06000009,3.023255814,-0.471956207,-19457.13904,76.2,Blackpool,0.01134625,7283.210526,42.85342283,0.202917326,0.28655171,13,1.026957638,1.283697047,0,3.209242619,3.182461103,4.101838755,0,17.48107364,25.52116235,24.507,86.811,22.3749401,71.6,47.6,0.378894737,7610,130,62.5
9,E06000010,3.013157895,-0.465958124,-4770.902001,69,"Kingston upon Hull, City of",0.005723646,8097.6875,36.94646161,0.159776112,0.319354736,49,0.636556532,2.485601697,0,4.183085784,2.21402214,6.239516941,0.06709158,7.98925814,22.46175756,24.234,87.186,11.4939657,70.6,42.5,0.31746875,13030,78,69.6
10,E06000011,2.985815603,-1.090588173,-4941.681652,96.1,East Riding of Yorkshire,0.006371631,7981.418605,49.00701589,0.265846774,0.241782404,39,0.062460962,0.749531543,0,0.780762024,0.25502072,1.243226012,0.06375518,7.464114833,11.81553036,26.685,86.05,7.4988972,87.8,44.8,0.437116279,17200,79,86
11,E06000012,3,-0.78185829,-17646.55759,,North East Lincolnshire,0.005812571,6928.869565,42.224845,0.207570655,0.285208891,42,0.169300226,0.902934537,0,1.015801354,0.886001181,1.476668636,0,5.847607797,15.86230031,29.364,88.533,17.3618463,58.5,51.9,0.336869565,8835,80,88.8
12,E06000013,3.073170732,-0.545969434,-17895.81741,79.3,North Lincolnshire,0.00568613,7510.782609,44.28148596,0.217586262,0.271148034,43,0.518134715,1.813471503,0,1.295336788,0.736454498,2.577590742,0,4.809200209,13.7340993,37.481,90.891,10.679811,68.3,38.7,0.359478261,9195,81,123.6
13,E06000014,3.0625,-0.210821702,-17371.20041,94.5,York,0.004924026,8792.166667,39.90567334,0.198021891,0.312161028,48,1.473577236,0.050813008,1.168699187,1.028277635,1.023155627,0.053850296,1.938610662,3.514552444,7.633047716,28.884,73.574,1.9882297,73,50.2,0.463416667,8350,83,89.2
14,E06000015,2.843373494,-1.27964682,-9513.923488,77.6,Derby,0.008037847,8284.322581,38.61214121,0.174890059,0.322696294,50,1.496338746,2.801655524,0.095510984,2.619949495,3.880494505,6.009615385,0.343406593,5.519053876,15.90561756,18.248,87.104,15.0708802,83.7,42.2,0.355935484,13345,90,91.6
15,E06000016,2.923809524,-0.76563966,3665.092493,64.6,Leicester,0.00837529,9568.540541,33.33429157,0.129045357,0.37273252,52,1.142857143,3.868131868,0,5.912087912,2.1875,5.745192308,0,13.10096154,15.57613535,21.717,84.42,3.7688442,84,37.5,0.422675676,18925,102,95.5
16,E06000017,3.260869565,0.355990833,-29343.41095,,Rutland,0.016441202,8095.2,47.11400747,0.255744585,0.24795936,58,0,0.262467192,1.57480315,4.533333333,0.285714286,2,0.285714286,8.595988539,4.685264664,4.808,79.208,5.3648069,66.7,12.3,0.452,1445,103,89.9
17,E06000018,2.97979798,-0.915572066,669.9490687,62.3,Nottingham,0.008195402,8871,33.24898493,0.128523509,0.385118123,56,1.888828926,2.833243389,0.02698327,6.018893387,3.685503686,5.251842752,0.245700246,14.60639606,23.05700609,26.989,85.004,12.0602558,79.9,41.4,0.321052632,14115,132,63.9
18,E06000019,3.147058824,-0.340424155,-17376.87912,96.2,"Herefordshire, County of",0.005967305,8418.043478,46.86194577,0.251434296,0.248701294,62,0.595560368,0,2.490525176,1.11049417,0.119760479,0,1.556886228,4.622871046,8.264708379,20.746,83.917,7.23589,85.2,43.5,0.377521739,8870,124,100.3
19,E06000020,3.029411765,-0.031203043,-14729.62417,81,Telford and Wrekin,0.006821492,7883.565217,40.47373915,0.18279681,0.307856161,68,1.120448179,3.734827264,0,1.680672269,2.268145161,4.183467742,0,7.358870968,14.87921062,24.863,77.376,7.2110432,55.1,24.2,0.364086957,9580,134,105
20,E06000021,2.847058824,-0.206821037,-5905.957469,72,Stoke-on-Trent,0.007369468,7547.705882,39.07224132,0.179466191,0.312331103,67,1.180289171,3.334316908,0,6.637168142,1.055223356,2.708406613,0,15.13793103,20.10248126,21.437,90.579,12.4990434,67.3,35.6,0.339794118,13080,105,100.8
21,E06000022,2.916666667,0.780435632,-18924.50724,,Bath and North East Somerset,0.006842345,7272.481481,38.41877669,0.190067039,0.324097561,103,0.67001675,0.949190396,0.390843104,3.195067265,0.943396226,2.653301887,0.353773585,0.946745562,10.41172107,22.092,82.256,11.5143186,73.1,43.7,0.432592593,7905,70,62.6
22,E06000023,2.896296296,2.486619575,6745.969068,93.7,"Bristol, City of",0.005940094,8030.521739,35.00816884,0.147288494,0.32174394,114,2.663972074,3.509094249,0,3.013044277,4.458598726,9.389006841,0,13.37579618,17.90494762,18.149,83.204,2.3932851,82.8,39.2,0.344454545,17580,71,51.7
23,E06000024,2.960784314,1.080141164,-14790.40313,,North Somerset,0.005727468,8291.307692,46.18498024,0.245209811,0.263313458,107,1.019974501,1.487462813,0.042498938,1.615646259,0.277777778,1.25,0.138888889,2.920723227,8.124711011,17.955,85.094,14.9046105,63,49.1,0.4185,10585,72,69.5
24,E06000025,2.936936937,0.118597885,-8724.87127,107.3,South Gloucestershire,0.006676773,8994.25,41.71166826,0.19934647,0.283380496,110,1.757689893,2.040175769,0,2.165725047,2.443342776,2.620396601,0,15.33286119,8.088460361,28.557,85.848,14.3072482,95.7,55.3,0.37284375,14710,73,67.1
25,E06000026,2.709302326,0.290648354,-9097.625975,80.9,Plymouth,0.006142852,8026.103448,40.30740155,0.194106122,0.306568897,108,0.751622822,1.639904339,0,2.049880424,1.266308519,0.844205679,0,4.988488104,15.06124223,26.083,83.19,10.3111386,77.3,43.3,0.35775,12735,119,94.7
26,E06000027,2.837837838,-0.665001017,-20513.87488,87.7,Torbay,0.008155449,8012.823529,48.60073597,0.275407195,0.244571298,112,1.52173913,3.333333333,0.072463768,3.40826686,1.410788382,1.908713693,0.331950207,3.746877602,15.49409102,21.93,77.829,24.702561,86.1,46.1,0.347882353,6745,120,96
27,E06000030,2.702702703,0.347952138,-9736.227069,95.5,Swindon,0.006230629,8254.851852,40.65626789,0.164860554,0.29710631,111,1.053013798,1.779230211,0.072621641,1.767676768,0.804743753,1.482422702,0,15.31138437,12.2474118,42.92,92.437,9.7041699,80.6,60.8,0.32837037,11735,107,82.3
28,E06000031,2.841269841,0.435891084,-6406.173514,84.6,Peterborough,0.00939602,9210.272727,38.45389531,0.160718795,0.319956299,80,0.856836844,2.177793645,0,0.928239914,1.661695782,2.087771623,0.213037921,4.654141759,13.79050895,27.436,82.85,10.3003361,74.4,37.2,0.387545455,10580,115,75.2
29,E06000032,2.845070423,-0.733858158,-10673.62388,79.1,Luton,0.01090572,10168,35.78234516,0.135293812,0.345963069,78,1.06075217,1.735776278,0.032144005,3.279742765,3.176748902,4.798918554,0.033795201,5.170665765,14.40409707,21.522,89.989,14.8085466,93.8,28.8,0.472,12580,84,89.5
30,E06000033,3,1.770431658,-16622.74308,98.3,Southend-on-Sea,0.007474919,10609.25,42.87599248,0.204929672,0.279902599,81,1.199040767,1.582733813,0,1.870503597,4.791666667,7.083333333,0,12.34375,11.66644031,12.397,80.12,5.4443991,83.7,41.6,0.395117647,9550,122,70.5
31,E06000034,2.92,-0.64856306,-13443.34746,92.9,Thurrock,0.011831403,9238.473684,38.08718015,0.148153022,0.322857137,83,0.750883392,1.192579505,0.265017668,2.922940655,4.21101342,6.015733457,2.406293383,13.60834519,11.48187258,29.502,87.079,12.3365408,78.5,40.1,0.330894737,9575,123,80.5
32,E06000035,2.928571429,0.706306096,-7661.600097,91.9,Medway,0.00898003,7345.842105,39.00258046,0.166551326,0.309954168,91,1.421800948,2.517772512,0,3.050947867,3.596214511,4.605678233,0,3.785488959,11.86959182,23.638,84.442,12.9306566,78.4,49.6,0.370815789,15105,127,56.7
33,E06000036,3.054054054,0.245692151,-21525.56103,,Bracknell Forest,0.010716333,8277.666667,39.83057463,0.15436392,0.301356972,84,1.606145251,1.815642458,0,3.770949721,2.72,2.16,0.08,12.16973579,6.661831167,29.681,87.871,8.9350533,86.2,49.7,0.399666667,5820,108,72.4
34,E06000037,3.060240964,0.098586877,-18923.94844,,West Berkshire,0.010557003,7202.954545,43.67628838,0.198141091,0.287603978,99,2.224633749,2.17037439,0,3.635377103,1.570996979,2.114803625,0,3.927492447,6.317204301,20.999,82.181,6.6073302,72.2,39.7,0.414181818,7970,110,57.5
35,E06000038,2.96,-0.211986955,-18413.24158,,Reading,0.009566151,8907.611111,36.33449194,0.135922705,0.338454018,95,3.787528868,5.034642032,0,9.936189608,4.362606232,3.682719547,0.056657224,35.88435374,12.81258284,12.587,61.2,8.8735081,87.6,24.4,0.400388889,6975,111,75.2
36,E06000039,3.113636364,-1.332288546,-14615.97426,,Slough,0.013349645,10684.07143,34.94837741,0.104711223,0.361525021,96,2.706078268,3.205661948,0,5.32889259,6.241331484,6.056403144,0,14.84049931,9.238046206,15.374,86.1,2.9950083,91.5,30.5,0.510214286,7980,112,74.3
37,E06000040,3.2,0.510685109,-22425.71518,,Windsor and Maidenhead,0.01227521,8404.055556,42.33873544,0.188660545,0.29252925,101,3.934010152,3.045685279,0.063451777,2.603174603,2.508090615,3.074433657,4.28802589,19.61115807,6.152935283,16.219,82.434,6.9444444,86.1,41.8,0.528166667,6510,109,74.3
38,E06000041,3.050847458,-0.45437512,-17975.00113,120.4,Wokingham,0.010516426,8697.25,41.50321294,0.178639526,0.300802734,102,1.839303001,0.9196515,0.048402711,1.937046005,1.7507724,2.626158599,0.102986612,14.53608247,5.316140708,13.656,82.614,5.8038305,81.5,32.2,0.5293,8085,113,72.4
39,E06000042,3.019230769,-0.068263718,-5012.56613,103.5,Milton Keynes,0.009060971,8443.84375,38.96378236,0.155164184,0.313708521,92,1.360914535,1.306477953,0,3.565596081,2.86909743,3.197848177,0.059772863,7.296650718,10.23230088,28.822,87.885,2.1395409,84.8,37.3,0.43971875,14380,88,74.6
40,E06000043,2.986666667,1.501011432,-13562.92456,107,Brighton and Hove,0.005476219,8840.545455,36.38928461,0.1380581,0.317808685,85,1.7186251,1.318944844,0,0.479616307,3.158344003,6.103286385,0,1.621852326,13.03433994,18.559,74.297,3.4355675,75.4,33.9,0.428272727,10400,97,84.4
41,E06000044,3,0.342839363,-18441.9025,79,Portsmouth,0.006590039,8587.68,35.31565269,0.148236469,0.337683676,94,2.303030303,3.757575758,0,2.343434343,0.258799172,0.776397516,0,9.472049689,18.62310745,26.025,93.506,7.3594918,84.6,50.9,0.31216,9080,99,89
42,E06000045,2.915492958,0.366135891,-12843.97119,81.1,Southampton,0.006035053,7902.25,33.95351038,0.142324883,0.354985746,97,2.88796103,4.558107168,0.034794711,2.958579882,1.432408236,2.506714414,0.044762757,10.66493955,18.68903015,37.5,91.169,3.5290343,76.5,51.6,0.33290625,10380,100,86.6
43,E06000046,2.769230769,0.843206262,-21791.95366,88.5,Isle of Wight,0.004766498,7905.333333,50.3182533,0.289558821,0.234172089,89,0.16064257,1.044176707,0,0,0.334448161,2.006688963,0,0,13.06317044,32.649,90.339,7.7760498,80,42.3,0.335888889,6955,141,78.8
44,E06000047,3.011904762,-0.012431706,11405.75413,78,County Durham,0.004942119,8078.015152,43.62634776,0.214076462,0.275937258,1,0.398565165,0.657632523,0.079713033,2.028639618,0.454357703,1.383725733,0.082610492,4.161516275,18.13613083,30.076,78.68,12.2755869,58.6,48,0.367909091,26340,94,89.4
45,E06000049,2.965277778,-0.072101742,426.0442191,118.8,Cheshire East,0.005683048,7581.705882,45.97647514,0.233870056,0.26100865,16,1.002109705,2.056962025,0,1.977848101,0.311931375,2.157525344,0.103977125,4.501691387,8.372032058,19.306,81.44,8.0376837,81.4,46.2,0.473803922,18595,135,85
46,E06000050,3.039215686,0.044417339,-1866.681094,104.6,Cheshire West and Chester,0.005867107,7315.382979,44.17657911,0.219631788,0.274202009,17,1.299802204,1.977959876,0,1.158519356,0.613317757,1.635514019,0.058411215,6.516656926,11.57775714,15.59,76.811,4.8750762,78.2,30.5,0.433659574,16950,136,100.5
47,E06000051,2.960526316,0.021819979,-9159.884259,97.4,Shropshire,0.006652828,8343.974359,47.5710902,0.253527659,0.24551509,64,0.359195402,1.077586207,0,2.478448276,0.263455024,0.752728641,0,5.83364697,8.586505456,13.806,87.96,15.9166175,56.1,44.7,0.396025641,14650,133,80.6
48,E06000052,2.882113821,0.188956977,11738.05464,,Cornwall,0.00504499,7823.157143,47.50856003,0.258670184,0.258181723,104,0.725764645,1.969932608,0.017280111,0.432077428,0.166882996,1.038383089,0.092712776,1.967334818,10.79510325,26.376,81.148,10.0702156,37.9,47.9,0.37369863,27835,137,88.5
49,E06000053,1,-1.637866605,,88.7,Isles of Scilly,0.011509517,2226,48.28676471,0.277178796,0.227313567,,,,,,,,,,,,,,,,0.476,105,69,64.5
50,E06000054,2.872246696,1.375157837,7377.262955,108.1,Wiltshire,0.008432737,8130.16129,45.53302992,0.227644472,0.265788556,113,1.251659397,1.877489095,0,2.218850749,0.390455531,0.867678959,0,7.765726681,7.308487702,18.088,78.847,3.2282205,64.2,40.9,0.41633871,24730,106,83.9
51,E06000055,2.842857143,-0.294202566,-13908.84413,104.6,Bedford,0.007886435,8734.35,41.26687429,0.185417851,0.302664928,73,1.156626506,0.578313253,0.385542169,1.596516691,0.102669405,0.205338809,0.924024641,0.414507772,10.74090925,27.729,86.034,19.1781795,67.4,53.8,0.42475,8610,85,96.4
52,E06000056,2.983333333,0.263058526,-12158.19096,106,Central Bedfordshire,0.009806092,8912,41.37843596,0.184443099,0.283232062,75,0.620200827,0.826934436,0.561134082,3.534303534,0.053304904,0.479744136,0.26652452,5.879208979,6.81961172,25.599,86.675,12.8918442,59.4,42.9,0.409636364,13970,86,85.2
53,E06000057,,-0.685296316,,94.9,Northumberland,0.004930571,8095.5,47.9850993,0.252195215,0.243349703,,,,,,,,,,,,,,,,0.41835,16230,,
54,E07000004,,0.474003331,,,Aylesbury Vale,0.009682685,,,,,,,,,,,,,,,,,,,,,,,
55,E07000005,,0.877146899,,,Chiltern,0.011923863,,,,,,,,,,,,,,,,,,,,,,,
56,E07000006,,0.005941289,,,South Bucks,0.013555922,,,,,,,,,,,,,,,,,,,,,,,
57,E07000007,,-0.553050508,,,Wycombe,0.010139736,,,,,,,,,,,,,,,,,,,,,,,
58,E07000008,,2.516440483,,,Cambridge,0.009510163,9779.333333,31.61982639,0.133457586,0.396410797,,,,,,,,,,,,,,,,0.521153846,3725,,
59,E07000009,,0.418430505,,,East Cambridgeshire,0.007821468,9017.2,44.00712246,0.213219813,0.275400119,,,,,,,,,,,,,,,,0.3927,4025,,
60,E07000010,,-0.048860673,,,Fenland,0.010101611,9280,45.32370711,0.238294672,0.264845243,,,,,,,,,,,,,,,,0.267181818,5110,,
61,E07000011,,0.519135663,,,Huntingdonshire,0.007368106,8135.681818,43.95459438,0.209856801,0.266294416,,,,,,,,,,,,,,,,0.401590909,9085,,
62,E07000012,,0.712881782,,108.8,South Cambridgeshire,0.00994863,8045.2,43.36135538,0.20073008,0.280324868,,,,,,,,,,,,,,,,0.50165,7360,,
63,E07000026,,0.162461667,,,Allerdale,0.005801693,8152.583333,47.47309984,0.249492646,0.248260568,,,,,,,,,,,,,,,,0.357333333,5385,,
64,E07000027,,0.495550546,,,Barrow-in-Furness,0.004515716,6672.6,44.0044317,0.218307425,0.270862977,,,,,,,,,,,,,,,,0.2636,3930,,
65,E07000028,,0.189074634,,,Carlisle,0.004959639,8348,44.81282559,0.223772959,0.266476666,,,,,,,,,,,,,,,,0.336307692,5245,,
66,E07000029,,-0.705363216,,87.7,Copeland,0.004120019,8505.125,46.63385116,0.231428982,0.25135392,,,,,,,,,,,,,,,,0.322,3665,,
67,E07000030,,0.17524025,,,Eden,0.005665132,7679.142857,50.5429918,0.27148673,0.226383241,,,,,,,,,,,,,,,,0.401714286,2885,,
68,E07000031,,0.250482742,,100.5,South Lakeland,0.006489585,7493.214286,51.22293028,0.289830366,0.228102407,,,,,,,,,,,,,,,,0.444214286,4985,,
69,E07000032,,-0.774769524,,,Amber Valley,0.007378989,8051.8125,45.53553057,0.226749258,0.251656119,,,,,,,,,,,,,,,,0.3534375,6675,,
70,E07000033,,-0.216892908,,,Bolsover,0.010923159,8130.5,43.13407346,0.202143757,0.269648819,,,,,,,,,,,,,,,,0.2903,4170,,
71,E07000034,,0.062761128,,,Chesterfield,0.006875185,8071.538462,44.30935398,0.215988535,0.26053594,,,,,,,,,,,,,,,,0.365307692,5570,,
72,E07000035,,-0.361200235,,,Derbyshire Dales,0.007306991,7242.2,50.88620863,0.277074214,0.226915689,,,,,,,,,,,,,,,,0.4824,3790,,
73,E07000036,,-0.289005665,,,Erewash,0.008116968,7688.8,43.5851421,0.209365453,0.266051896,,,,,,,,,,,,,,,,0.3224,5845,,
74,E07000037,,-0.6419343,,,High Peak,0.005724341,8421.181818,45.16939356,0.212535859,0.257915961,,,,,,,,,,,,,,,,0.418818182,5030,,
75,E07000038,,-0.116740419,,81.3,North East Derbyshire,0.008821195,7862.769231,47.44784736,0.254804807,0.243790687,,,,,,,,,,,,,,,,0.399692308,5045,,
76,E07000039,,-1.356872851,,94.2,South Derbyshire,0.012052547,9126.333333,42.25323954,0.186719728,0.278329121,,,,,,,,,,,,,,,,0.372416667,5225,,
77,E07000040,,0.239349682,,,East Devon,0.008596633,7404,51.60228031,0.316986583,0.226606221,,,,,,,,,,,,,,,,0.3918,6650,,
78,E07000041,,1.37014535,,,Exeter,0.008284464,8888.866667,35.40727943,0.165487315,0.338516608,,,,,,,,,,,,,,,,0.365066667,4895,,
79,E07000042,,-0.506208647,,,Mid Devon,0.010505687,7571.818182,45.98012581,0.237510278,0.270344,,,,,,,,,,,,,,,,0.337363636,4110,,
80,E07000043,,-0.683140455,,,North Devon,0.009482397,7012.142857,47.86922867,0.259445068,0.249702606,,,,,,,,,,,,,,,,0.337071429,4815,,
81,E07000044,,-0.300648368,,,South Hams,0.011049918,7328.833333,51.51323657,0.293154138,0.228959561,,,,,,,,,,,,,,,,0.45175,4445,,
82,E07000045,,-0.050211297,,,Teignbridge,0.008163607,7107.315789,49.08455972,0.271417386,0.23764459,,,,,,,,,,,,,,,,0.381421053,6595,,
83,E07000046,,-1.004528016,,,Torridge,0.01039501,7635.444444,51.01605419,0.288912907,0.228873696,,,,,,,,,,,,,,,,0.324555556,3190,,
84,E07000047,,-0.165619163,,98,West Devon,0.010717707,8019.857143,51.32029757,0.286647769,0.226195331,,,,,,,,,,,,,,,,0.416428571,2595,,
85,E07000061,,1.108619417,,,Eastbourne,0.008852215,7948,46.09955578,0.255678674,0.265321357,,,,,,,,,,,,,,,,0.347923077,4745,,
86,E07000062,,2.746610842,,,Hastings,0.008694903,8414,42.74426891,0.201490676,0.280325599,,,,,,,,,,,,,,,,0.284545455,4875,,
87,E07000063,,1.008051507,,,Lewes,0.008410182,7963.461538,47.32015519,0.257319533,0.257563709,,,,,,,,,,,,,,,,0.341384615,4685,,
88,E07000064,,1.905477791,,,Rother,0.009852943,8792.363636,52.46199712,0.323488293,0.224372092,,,,,,,,,,,,,,,,0.364363636,4285,,
89,E07000065,,1.654832785,,105.9,Wealden,0.008890091,7749.190476,48.4592815,0.261222499,0.25071119,,,,,,,,,,,,,,,,0.399238095,7275,,
90,E07000066,,-0.218154519,,,Basildon,0.009166355,8525.363636,39.55272513,0.175993119,0.305167459,,,,,,,,,,,,,,,,0.318727273,10370,,
91,E07000067,,0.39759802,,,Braintree,0.008043408,8505.055556,43.35433949,0.207967556,0.27775901,,,,,,,,,,,,,,,,0.347833333,8085,,
92,E07000068,,0.439762141,,,Brentwood,0.007717924,8582.444444,43.46800738,0.205898351,0.276090451,,,,,,,,,,,,,,,,0.471,3865,,
93,E07000069,,0.91125156,,,Castle Point,0.009597613,7543.666667,46.48848522,0.25734936,0.262164023,,,,,,,,,,,,,,,,0.306083333,5240,,
94,E07000070,,0.850993304,,,Chelmsford,0.00772444,8549.952381,42.34345904,0.198962023,0.280830054,,,,,,,,,,,,,,,,0.455571429,8840,,
95,E07000071,,0.763177286,,,Colchester,0.00957927,9860,40.14211432,0.187166021,0.305508363,,,,,,,,,,,,,,,,0.38605,8785,,
96,E07000072,,1.100570129,,,Epping Forest,0.010798309,7775,42.66338736,0.19953549,0.278736745,,,,,,,,,,,,,,,,0.401941176,6185,,
97,E07000073,,0.498672998,,,Harlow,0.009954636,7934.545455,37.36831487,0.155343462,0.318584182,,,,,,,,,,,,,,,,0.330181818,4740,,
98,E07000074,,1.14786091,,121.2,Maldon,0.007659242,8175.125,48.82388429,0.256297815,0.248137364,,,,,,,,,,,,,,,,0.37825,3555,,
99,E07000075,,1.471320572,,102.5,Rochford,0.008583791,8762.7,45.54155347,0.23319239,0.262418442,,,,,,,,,,,,,,,,0.3534,5015,,
100,E07000076,,0.389168821,,96.1,Tendring,0.008631353,8186.277778,49.79545596,0.297270742,0.24783597,,,,,,,,,,,,,,,,0.294833333,7415,,
101,E07000077,,0.295662613,,125.8,Uttlesford,0.01207746,10306.55556,43.71071981,0.198339554,0.282876962,,,,,,,,,,,,,,,,0.503333333,4230,,
102,E07000078,,1.799674828,,,Cheltenham,0.008716959,7736.2,41.45405057,0.205364183,0.286816088,,,,,,,,,,,,,,,,0.505533333,4935,,
